adID	Title	Location	AdPriority	Cost	Pictures	AdDuration	AdURL	Call	Email	Area	Bathrooms	Bedrooms
32	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5200000	6	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-41088458-8856-1.html	TRUE	TRUE	78	2	2
33	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088464-8856-1.html	TRUE	TRUE	120		
34	160 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	23000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088466-8856-1.html	TRUE	TRUE	160		
35	This Is Your Chance To Buy House In Saima Arabian Villas Karachi	"Saima Arabian Villas, Gadap Town"	Normal	16500000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_this_is_your_chance_to_buy_house_in_saima_arabian_villas_karachi-41088468-8856-1.html	TRUE	TRUE	160		
36	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	16500000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088471-8856-1.html	TRUE	TRUE	120		
37	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	16300000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088473-8856-1.html	TRUE	TRUE	120		
38	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13500000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088474-8856-1.html	TRUE	TRUE	120		
39	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	15200000	29	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39021195-8856-1.html	TRUE	TRUE	120		
40	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12200000	6	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426682-8856-1.html	TRUE	TRUE	120		
41	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13500000	22	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426711-8856-1.html	TRUE	TRUE	160		
